section_id,page_no,reason
Reference Images,Bosch Motronic system drawing,No table detected or no spec rows parsed
35,00-index-a,No table detected or no spec rows parsed
35,01,No table detected or no spec rows parsed
35,02,No table detected or no spec rows parsed
35,03,No table detected or no spec rows parsed
35,04,No table detected or no spec rows parsed
35,05_1,No table detected or no spec rows parsed
35,06,No table detected or no spec rows parsed
35,07,No table detected or no spec rows parsed
35,08,No table detected or no spec rows parsed
35,09,No table detected or no spec rows parsed
51,00-index-a,No table detected or no spec rows parsed
51,00-index-b,No table detected or no spec rows parsed
51,00-index-c,No table detected or no spec rows parsed
51,00-index-d,No table detected or no spec rows parsed
51,00-index-e,No table detected or no spec rows parsed
51,110,No table detected or no spec rows parsed
51,111,No table detected or no spec rows parsed
51,112,No table detected or no spec rows parsed
51,113,No table detected or no spec rows parsed
51,114,No table detected or no spec rows parsed
51,115,No table detected or no spec rows parsed
51,116,No table detected or no spec rows parsed
51,120,No table detected or no spec rows parsed
51,121,No table detected or no spec rows parsed
51,122,No table detected or no spec rows parsed
51,123,No table detected or no spec rows parsed
51,124,No table detected or no spec rows parsed
51,125,No table detected or no spec rows parsed
51,130,No table detected or no spec rows parsed
51,131,No table detected or no spec rows parsed
51,140,No table detected or no spec rows parsed
51,141,No table detected or no spec rows parsed
51,150,No table detected or no spec rows parsed
51,160,No table detected or no spec rows parsed
51,161,No table detected or no spec rows parsed
51,162,No table detected or no spec rows parsed
51,163,No table detected or no spec rows parsed
51,164,No table detected or no spec rows parsed
51,210,No table detected or no spec rows parsed
51,211,No table detected or no spec rows parsed
51,212,No table detected or no spec rows parsed
51,213,No table detected or no spec rows parsed
51,214,No table detected or no spec rows parsed
51,215,No table detected or no spec rows parsed
51,216,No table detected or no spec rows parsed
51,220,No table detected or no spec rows parsed
51,230,No table detected or no spec rows parsed
51,240,No table detected or no spec rows parsed
51,241,No table detected or no spec rows parsed
51,250,No table detected or no spec rows parsed
51,251,No table detected or no spec rows parsed
51,252,No table detected or no spec rows parsed
51,260,No table detected or no spec rows parsed
51,261,No table detected or no spec rows parsed
51,262,No table detected or no spec rows parsed
51,263,No table detected or no spec rows parsed
51,310,No table detected or no spec rows parsed
51,311,No table detected or no spec rows parsed
51,312,No table detected or no spec rows parsed
51,314,No table detected or no spec rows parsed
51,316,No table detected or no spec rows parsed
51,317,No table detected or no spec rows parsed
51,318,No table detected or no spec rows parsed
51,319a,No table detected or no spec rows parsed
51,320,No table detected or no spec rows parsed
51,321,No table detected or no spec rows parsed
51,322,No table detected or no spec rows parsed
51,323,No table detected or no spec rows parsed
51,324,No table detected or no spec rows parsed
51,325,No table detected or no spec rows parsed
51,330,No table detected or no spec rows parsed
51,340,No table detected or no spec rows parsed
51,341,No table detected or no spec rows parsed
51,342,No table detected or no spec rows parsed
51,343,No table detected or no spec rows parsed
51,344,No table detected or no spec rows parsed
51,345,No table detected or no spec rows parsed
51,360,No table detected or no spec rows parsed
51,361,No table detected or no spec rows parsed
51,371,No table detected or no spec rows parsed
51,372,No table detected or no spec rows parsed
51,410,No table detected or no spec rows parsed
51,411,No table detected or no spec rows parsed
51,420,No table detected or no spec rows parsed
51,431,No table detected or no spec rows parsed
51,432,No table detected or no spec rows parsed
51,440,No table detected or no spec rows parsed
51,450,No table detected or no spec rows parsed
51,451,No table detected or no spec rows parsed
51,452,No table detected or no spec rows parsed
51,453,No table detected or no spec rows parsed
51,454,No table detected or no spec rows parsed
51,455,No table detected or no spec rows parsed
51,456,No table detected or no spec rows parsed
51,460,No table detected or no spec rows parsed
51,470,No table detected or no spec rows parsed
51,471,No table detected or no spec rows parsed
51,472,No table detected or no spec rows parsed
51,473,No table detected or no spec rows parsed
51,475,No table detected or no spec rows parsed
51,710,No table detected or no spec rows parsed
51,711,No table detected or no spec rows parsed
51,712,No table detected or no spec rows parsed
51,713,No table detected or no spec rows parsed
51,715,No table detected or no spec rows parsed
51,716,No table detected or no spec rows parsed
51,717,No table detected or no spec rows parsed
51,756,No table detected or no spec rows parsed
51,757,No table detected or no spec rows parsed
51,758,No table detected or no spec rows parsed
51,769,No table detected or no spec rows parsed
51,770,No table detected or no spec rows parsed
51,800,No table detected or no spec rows parsed
51,801,No table detected or no spec rows parsed
51,802,No table detected or no spec rows parsed
51,803,No table detected or no spec rows parsed
51,804,No table detected or no spec rows parsed
51,805,No table detected or no spec rows parsed
51,806,No table detected or no spec rows parsed
51,807,No table detected or no spec rows parsed
51,808,No table detected or no spec rows parsed
51,810,No table detected or no spec rows parsed
51,811,No table detected or no spec rows parsed
51,812,No table detected or no spec rows parsed
51,813,No table detected or no spec rows parsed
51,814,No table detected or no spec rows parsed
51,815,No table detected or no spec rows parsed
34,00-index-a,No table detected or no spec rows parsed
34,00-index-b,No table detected or no spec rows parsed
34,00-index-c,No table detected or no spec rows parsed
34,03,No table detected or no spec rows parsed
34,04,No table detected or no spec rows parsed
34,05,No table detected or no spec rows parsed
34,06,No table detected or no spec rows parsed
34,07,No table detected or no spec rows parsed
34,08,No table detected or no spec rows parsed
34,09,No table detected or no spec rows parsed
34,10,No table detected or no spec rows parsed
34,10a,No table detected or no spec rows parsed
34,11,No table detected or no spec rows parsed
34,12,No table detected or no spec rows parsed
34,13,No table detected or no spec rows parsed
34,16,No table detected or no spec rows parsed
34,17,No table detected or no spec rows parsed
34,18,No table detected or no spec rows parsed
34,19,No table detected or no spec rows parsed
34,20,No table detected or no spec rows parsed
34,21,No table detected or no spec rows parsed
34,22,No table detected or no spec rows parsed
34,23,No table detected or no spec rows parsed
34,24,No table detected or no spec rows parsed
34,25,No table detected or no spec rows parsed
34,26,No table detected or no spec rows parsed
34,27,No table detected or no spec rows parsed
34,28,No table detected or no spec rows parsed
34,29,No table detected or no spec rows parsed
34,30,No table detected or no spec rows parsed
34,31,No table detected or no spec rows parsed
34,31a,No table detected or no spec rows parsed
34,31c,No table detected or no spec rows parsed
34,33,No table detected or no spec rows parsed
34,34,No table detected or no spec rows parsed
34,34b,No table detected or no spec rows parsed
34,35,No table detected or no spec rows parsed
34,36,No table detected or no spec rows parsed
34,37,No table detected or no spec rows parsed
34,38,No table detected or no spec rows parsed
34,39,No table detected or no spec rows parsed
34,40,No table detected or no spec rows parsed
34,41,No table detected or no spec rows parsed
34,42,No table detected or no spec rows parsed
34,43,No table detected or no spec rows parsed
34,44,No table detected or no spec rows parsed
34,45,No table detected or no spec rows parsed
33,00-index-a,No table detected or no spec rows parsed
33,00,No table detected or no spec rows parsed
33,00_1,No table detected or no spec rows parsed
33,00_2,No table detected or no spec rows parsed
33,01_1,No table detected or no spec rows parsed
33,03,No table detected or no spec rows parsed
33,04,No table detected or no spec rows parsed
33,05,No table detected or no spec rows parsed
33,06,No table detected or no spec rows parsed
33,07,No table detected or no spec rows parsed
33,08,No table detected or no spec rows parsed
33,09,No table detected or no spec rows parsed
33,10,No table detected or no spec rows parsed
33,11,No table detected or no spec rows parsed
33,13,No table detected or no spec rows parsed
33,14,No table detected or no spec rows parsed
33,15,No table detected or no spec rows parsed
33,16,No table detected or no spec rows parsed
33,18,No table detected or no spec rows parsed
18,02,No table detected or no spec rows parsed
18,03,No table detected or no spec rows parsed
18,05,No table detected or no spec rows parsed
18,06,No table detected or no spec rows parsed
18,07,No table detected or no spec rows parsed
18,08,No table detected or no spec rows parsed
18,09,No table detected or no spec rows parsed
11,00-index-a,No table detected or no spec rows parsed
11,00-index-b,No table detected or no spec rows parsed
11,00-index-c,No table detected or no spec rows parsed
11,100,No table detected or no spec rows parsed
11,103,No table detected or no spec rows parsed
11,105,No table detected or no spec rows parsed
11,108,No table detected or no spec rows parsed
11,109,No table detected or no spec rows parsed
11,50,No table detected or no spec rows parsed
11,52a,No table detected or no spec rows parsed
11,52b,No table detected or no spec rows parsed
11,53,No table detected or no spec rows parsed
11,53a,No table detected or no spec rows parsed
11,54,No table detected or no spec rows parsed
11,55,No table detected or no spec rows parsed
11,55a,No table detected or no spec rows parsed
11,56,No table detected or no spec rows parsed
11,58,No table detected or no spec rows parsed
11,60,No table detected or no spec rows parsed
11,61,No table detected or no spec rows parsed
11,61a,No table detected or no spec rows parsed
11,61b,No table detected or no spec rows parsed
11,64,No table detected or no spec rows parsed
11,66,No table detected or no spec rows parsed
11,68,No table detected or no spec rows parsed
11,69,No table detected or no spec rows parsed
11,71,No table detected or no spec rows parsed
11,72,No table detected or no spec rows parsed
11,73,No table detected or no spec rows parsed
11,75,No table detected or no spec rows parsed
11,76,No table detected or no spec rows parsed
11,77,No table detected or no spec rows parsed
11,78,No table detected or no spec rows parsed
11,78b,No table detected or no spec rows parsed
16,00-index-a,No table detected or no spec rows parsed
16,00,No table detected or no spec rows parsed
16,01,No table detected or no spec rows parsed
16,05,No table detected or no spec rows parsed
16,06,No table detected or no spec rows parsed
16,08,No table detected or no spec rows parsed
16,10,No table detected or no spec rows parsed
16,11,No table detected or no spec rows parsed
favicon,android-chrome-192x192,No table detected or no spec rows parsed
favicon,android-chrome-512x512,No table detected or no spec rows parsed
favicon,apple-touch-icon,No table detected or no spec rows parsed
favicon,favicon-16x16,No table detected or no spec rows parsed
favicon,favicon-32x32,No table detected or no spec rows parsed
17,00-index-a,No table detected or no spec rows parsed
17,01,No table detected or no spec rows parsed
17,02,No table detected or no spec rows parsed
17,03,No table detected or no spec rows parsed
17,04,No table detected or no spec rows parsed
17,04_1,No table detected or no spec rows parsed
17,06,No table detected or no spec rows parsed
17,06_1,No table detected or no spec rows parsed
17,07,No table detected or no spec rows parsed
26,00-index-a,No table detected or no spec rows parsed
26,01a,No table detected or no spec rows parsed
26,03,No table detected or no spec rows parsed
26,04,No table detected or no spec rows parsed
26,05,No table detected or no spec rows parsed
26,06,No table detected or no spec rows parsed
26,07,No table detected or no spec rows parsed
26,08,No table detected or no spec rows parsed
26,09,No table detected or no spec rows parsed
26,11,No table detected or no spec rows parsed
26,12,No table detected or no spec rows parsed
26,13,No table detected or no spec rows parsed
26,14,No table detected or no spec rows parsed
26,15,No table detected or no spec rows parsed
26,16,No table detected or no spec rows parsed
21,00-index-a,No table detected or no spec rows parsed
21,02,No table detected or no spec rows parsed
21,04,No table detected or no spec rows parsed
21,06,No table detected or no spec rows parsed
21,07,No table detected or no spec rows parsed
72,00-index-a,No table detected or no spec rows parsed
72,110,No table detected or no spec rows parsed
72,111,No table detected or no spec rows parsed
72,112,No table detected or no spec rows parsed
72,113,No table detected or no spec rows parsed
72,115,No table detected or no spec rows parsed
72,116,No table detected or no spec rows parsed
72,117,No table detected or no spec rows parsed
72,118,No table detected or no spec rows parsed
72,120,No table detected or no spec rows parsed
00,00-index-a,No table detected or no spec rows parsed
00,00-intro-01,No table detected or no spec rows parsed
00,00-intro-02,No table detected or no spec rows parsed
00,00-intro-04,No table detected or no spec rows parsed
00,01,No table detected or no spec rows parsed
00,02,No table detected or no spec rows parsed
00,03,No table detected or no spec rows parsed
00,04,No table detected or no spec rows parsed
00,05,No table detected or no spec rows parsed
00,06,No table detected or no spec rows parsed
00,07,No table detected or no spec rows parsed
00,08,No table detected or no spec rows parsed
00,09,No table detected or no spec rows parsed
00,10,No table detected or no spec rows parsed
00,11,No table detected or no spec rows parsed
00,12,No table detected or no spec rows parsed
00,13,No table detected or no spec rows parsed
00,14,No table detected or no spec rows parsed
00,15,No table detected or no spec rows parsed
00,16,No table detected or no spec rows parsed
00,17,No table detected or no spec rows parsed
00,18,No table detected or no spec rows parsed
00,19,Image not found
00,20,Image not found
00,21,Image not found
00,22,Image not found
00,23,Image not found
00,24,Image not found
00,25,Image not found
00,26,Image not found
00,27,Image not found
00,28,Image not found
00,29,Image not found
00,30,Image not found
00,31,Image not found
00,32,Image not found
00,33,Image not found
00,34,Image not found
00,35,Image not found
00,36,Image not found
00,37,Image not found
00,38,Image not found
00,39,Image not found
00,40,Image not found
36,00-index-a,No table detected or no spec rows parsed
36,01,No table detected or no spec rows parsed
36,03,No table detected or no spec rows parsed
36,04,No table detected or no spec rows parsed
36,05,No table detected or no spec rows parsed
36,07,No table detected or no spec rows parsed
36,08,No table detected or no spec rows parsed
36,10,No table detected or no spec rows parsed
36,11,No table detected or no spec rows parsed
31,00-index-a,No table detected or no spec rows parsed
31,00-index-b,No table detected or no spec rows parsed
31,00-index-c,No table detected or no spec rows parsed
31,01,No table detected or no spec rows parsed
31,02,No table detected or no spec rows parsed
31,03,No table detected or no spec rows parsed
31,04,No table detected or no spec rows parsed
31,05,No table detected or no spec rows parsed
31,05_1,No table detected or no spec rows parsed
31,06,No table detected or no spec rows parsed
31,06_1,No table detected or no spec rows parsed
31,07,No table detected or no spec rows parsed
31,08,No table detected or no spec rows parsed
31,09,No table detected or no spec rows parsed
31,09_2,No table detected or no spec rows parsed
31,10,No table detected or no spec rows parsed
31,10_1,No table detected or no spec rows parsed
31,11,No table detected or no spec rows parsed
31,11_1,No table detected or no spec rows parsed
31,11_2,No table detected or no spec rows parsed
31,12,No table detected or no spec rows parsed
31,13,No table detected or no spec rows parsed
31,15,No table detected or no spec rows parsed
31,16,No table detected or no spec rows parsed
31,16_1,No table detected or no spec rows parsed
31,16_3,No table detected or no spec rows parsed
31,16_4,No table detected or no spec rows parsed
31,17,No table detected or no spec rows parsed
31,18,No table detected or no spec rows parsed
31,19,No table detected or no spec rows parsed
31,20,No table detected or no spec rows parsed
31,21,No table detected or no spec rows parsed
31,22,No table detected or no spec rows parsed
31,23,No table detected or no spec rows parsed
31,24,No table detected or no spec rows parsed
31,25,No table detected or no spec rows parsed
31,26,No table detected or no spec rows parsed
31,27,No table detected or no spec rows parsed
31,28,No table detected or no spec rows parsed
31,29,No table detected or no spec rows parsed
31,30,No table detected or no spec rows parsed
31,31,No table detected or no spec rows parsed
31,32,No table detected or no spec rows parsed
31,33,No table detected or no spec rows parsed
31,34,No table detected or no spec rows parsed
31,35,No table detected or no spec rows parsed
31,37,No table detected or no spec rows parsed
31,38,No table detected or no spec rows parsed
31,39,No table detected or no spec rows parsed
31,40,No table detected or no spec rows parsed
31,41,No table detected or no spec rows parsed
31,42,No table detected or no spec rows parsed
31,43,No table detected or no spec rows parsed
31,44,No table detected or no spec rows parsed
31,45,No table detected or no spec rows parsed
31,46,No table detected or no spec rows parsed
31,47,No table detected or no spec rows parsed
31,48,No table detected or no spec rows parsed
65,00-index-a,No table detected or no spec rows parsed
65,00-index-b,No table detected or no spec rows parsed
65,101,No table detected or no spec rows parsed
65,101a,No table detected or no spec rows parsed
65,102,No table detected or no spec rows parsed
65,103,No table detected or no spec rows parsed
65,151,No table detected or no spec rows parsed
65,151a,No table detected or no spec rows parsed
65,152,No table detected or no spec rows parsed
65,153,No table detected or no spec rows parsed
65,191,No table detected or no spec rows parsed
65,301,No table detected or no spec rows parsed
65,302,No table detected or no spec rows parsed
65,303,No table detected or no spec rows parsed
65,304,No table detected or no spec rows parsed
65,305,No table detected or no spec rows parsed
65,306,No table detected or no spec rows parsed
65,307,No table detected or no spec rows parsed
65,351,No table detected or no spec rows parsed
65,352,No table detected or no spec rows parsed
65,353,No table detected or no spec rows parsed
65,354,No table detected or no spec rows parsed
65,355,No table detected or no spec rows parsed
65,356,No table detected or no spec rows parsed
65,360,No table detected or no spec rows parsed
65,361,No table detected or no spec rows parsed
65,500,No table detected or no spec rows parsed
65,501,No table detected or no spec rows parsed
65,502,No table detected or no spec rows parsed
65,503,No table detected or no spec rows parsed
65,90,No table detected or no spec rows parsed
65,91,No table detected or no spec rows parsed
65,92,No table detected or no spec rows parsed
65,93,No table detected or no spec rows parsed
65,94,No table detected or no spec rows parsed
Bosch Motronic ML 3-1,04,No table detected or no spec rows parsed
Bosch Motronic ML 3-1,06,No table detected or no spec rows parsed
Bosch Motronic ML 3-1,08,No table detected or no spec rows parsed
Bosch Motronic ML 3-1,12,No table detected or no spec rows parsed
Bosch Motronic ML 3-1,14,No table detected or no spec rows parsed
Bosch Motronic ML 3-1,18,No table detected or no spec rows parsed
